"hotel","lugar","num_turistas"
"IFA_Continental_Hotel","Yumbo_Centrum",16
"IFA_Faro_Hotel","Playa_de_Maspalomas",23
"IFA_Interclub_Atlantic_Hotel","Palmitos_Park",29
"IFA_Interclub_Atlantic_Hotel","Playa_de_San_Agustin",27
"IFA_Interclub_Atlantic_Hotel","Playa_de_Maspalomas",18
"Maspalomas_Oasis_Club","Palmitos_Park",21
"Maspalomas_Oasis_Club","Playa_de_Maspalomas",20
"Maspalomas_Oasis_Club","Aqualand_Maspalomas",18
"Maspalomas_Oasis_Club","Holiday_World_Maspalomas",17
"Maspalomas_Princess_Hotel","Playa_de_Maspalomas",58
"Maspalomas_Princess_Hotel","Palmitos_Park",51
"Maspalomas_Princess_Hotel","El_Faro_de_Maspalomas",36
"Maspalomas_Princess_Hotel","Moonlight_Cinema",27
"Maspalomas_Princess_Hotel","Aqualand_Maspalomas",17
"Melia_Tamarindos","Loopys",46
"Melia_Tamarindos","El_Capitan",39
"Melia_Tamarindos","Playa_de_San_Agustin",38
"Melia_Tamarindos","Balcon_de_San_Agustin",36
"Melia_Tamarindos","Restaurante_Nitos",19
"Palm_Oasis_Maspalomas","Palmitos_Park",39
"Palm_Oasis_Maspalomas","Playa_de_Maspalomas",36
"Palm_Oasis_Maspalomas","El_Carreton",26
"Palm_Oasis_Maspalomas","El_Faro_de_Maspalomas",24
"Palm_Oasis_Maspalomas","Bamboo_Garden",20
"Palm_Oasis_Maspalomas","Grand_Italia",17
"Playa_del_Sol_Adults_Only","Yumbo_Centrum",20
"Playa_del_Sol_Adults_Only","Martel_House",16
"Santa_Clara_Bungalows","Greek_Village",18
"Seaside_Palm_Beach","Playa_de_Maspalomas",38
"Seaside_Palm_Beach","Palmitos_Park",23
"Seaside_Sandy_Beach","Yumbo_Centrum",17
"SENTIDO_Gran_Canaria_Princess","Yumbo_Centrum",31
"SENTIDO_Gran_Canaria_Princess","Dunas_de_Maspalomas",29
"SENTIDO_Gran_Canaria_Princess","Palmitos_Park",28
"SENTIDO_Gran_Canaria_Princess","Playa_de_Maspalomas",19
"SENTIDO_Gran_Canaria_Princess","El_Carreton",19
"Servatur_Barbados_Apartments","The_British_Bulldog",17
